Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
900403,2009,08/23/2010,Farmington,3 INDIAN HILL RD,286550.00,355000.00,0.807183099,Single Family,Single Family,,,,
60172,2006,04/04/2007,Windsor Locks,211 S CENTER ST,140900.00,235000.00,0.599574468,Single Family,Single Family,03 - Inter Corporation,,,
61317,2006,08/31/2007,Danbury,SHELTER ROCK RD,207300.00,444000.00,0.466891892,Single Family,Single Family,,,,
170321,2017,03/14/2018,Southington,10 STRAWBERRY LN,279610.00,415000.00,0.6737,Single Family,Single Family,,,,
181462,2018,04/09/2019,Waterbury,4 KENILWORTH ST,117370.00,78750.00,1.4904,Single Family,Single Family,14 - Foreclosure,,,
150621,2015,07/14/2016,Norwich,520 ASYLUM ST EXT,130400.00,149000.00,0.875167785,Single Family,Single Family,,,,POINT (-72.09848 41.53962)
90406,2009,05/17/2010,Middletown,66 ASPEN DR,154940.00,264000.00,0.586893939,Single Family,Single Family,,,,
20300,2002,04/14/2003,Vernon,14 WILSON LN,80710.00,145000.00,0.55662069,,,,,,
20094,2020,11/23/2020,Bethel,18 WEED ROAD,231630.00,375000.00,0.6176,Residential,Single Family,,,,POINT (-73.38428 41.40998)
60179,2006,07/10/2007,East Haddam,48 CRAGMERE RD,41950.00,123000.00,0.341056911,Single Family,Single Family,,,,
150700,2015,06/15/2016,Stratford,194 LAUREL ST,275520.00,400000.00,0.6888,Single Family,Single Family,,,,POINT (-73.11811 41.15449)
201216,2020,05/24/2021,Griswold,154 GEER RD,96250.00,225000.00,0.427777778,Residential,Single Family,,,,
60422,2006,09/17/2007,Cromwell,4 MARGO CT,81100.00,160900.00,0.504039776,Condo,Condo,,,,
200064,2020,11/09/2020,Madison,23 SPORTSMANS HILL RD,254200.00,528000.00,0.4814,Residential,Single Family,,,,
110436,2011,09/25/2012,Farmington,36 CENTERBROOK DR,389060.00,600000.00,0.648433333,Single Family,Single Family,,,,
160281,2016,07/05/2017,New Canaan,8 TOMMYS LA,873250.00,1665000.00,0.524474474,Single Family,Single Family,,,,POINT (-73.48272 41.13427)
20668,2020,09/07/2021,Southbury,763 C HERITAGE VILLAGE,93670.00,180000.00,0.5203,Residential,Condo,,,,
160580,2016,06/01/2017,Meriden,170 BUCKINGHAM ST,106540.00,205000.00,0.519707317,Single Family,Single Family,07 - Change in Property,,,POINT (-72.82201 41.5339)
150365,2015,09/23/2016,Rocky Hill,L004 GARFIELD ROAD,9240.00,5000.00,1.848,,,09 - Tax,TAX SALE,,
150438,2015,01/13/2016,Waterbury,34 TAFT POINTE #73,58920.00,61800.00,0.953398058,Condo,Condo,09 - Tax,,,
